Model,CPC,City
Power-POI,0.2786746837195396,Los_Angeles
Exp-Pop,0.3864312415702665,Los_Angeles
Exp-POI,0.3432307584144594,Los_Angeles
Attraction-Uniform,0.6924995364830902,Los_Angeles
Attraction-Weighted,0.5985494910725483,Los_Angeles
Radiation-Pop,0.4311866625433992,Los_Angeles
Radiation-POI,0.3704911219183065,Los_Angeles
Power-Pop,0.7239717365321298,Louisville
Power-POI,0.6755241954250714,Louisville
Exp-Pop,0.7122853657712698,Louisville
Exp-POI,0.684769736560194,Louisville
Attraction-Uniform,0.789249387434677,Louisville
Attraction-Weighted,0.8091845989898583,Louisville
Radiation-Pop,0.5752983561954937,Louisville
Radiation-POI,0.5758209865296919,Louisville
Power-Pop,0.6991984941645661,Memphis
Power-POI,0.6031000577169814,Memphis
Exp-Pop,0.6645042969515221,Memphis
Exp-POI,0.5998110247476965,Memphis
Attraction-Uniform,0.7949193735991713,Memphis
Attraction-Weighted,0.741872053081567,Memphis
Radiation-Pop,0.4934021768324116,Memphis
Radiation-POI,0.450570642949663,Memphis
Power-Pop,0.6941188378666109,Mesa
Power-POI,0.6463406226830735,Mesa
Exp-Pop,0.7013538284244302,Mesa
Exp-POI,0.6759316617766336,Mesa
Attraction-Uniform,0.8107562412836101,Mesa
Attraction-Weighted,0.8104299976805486,Mesa
Radiation-Pop,0.6010974042788805,Mesa
Radiation-POI,0.5960066316703146,Mesa
Power-Pop,0.6954543411638029,Miami
Power-POI,0.7069143991959487,Miami
Exp-Pop,0.7094020712304743,Miami
Exp-POI,0.7238794751573865,Miami
Attraction-Uniform,0.7338731660824669,Miami
Attraction-Weighted,0.7620067100370022,Miami
Radiation-Pop,0.5619382197719831,Miami
Radiation-POI,0.5696645421980735,Miami
Power-Pop,0.6695221977521004,Milwaukee
Power-POI,0.6431698298821059,Milwaukee
Exp-Pop,0.6446602967919807,Milwaukee
Exp-POI,0.6371686488381779,Milwaukee
Attraction-Uniform,0.7314358249908569,Milwaukee
Attraction-Weighted,0.7459193911860655,Milwaukee
Radiation-Pop,0.5030925240758427,Milwaukee
Radiation-POI,0.5022710191634956,Milwaukee
Power-Pop,0.7270480152761146,Minneapolis
Power-POI,0.7086513191023062,Minneapolis
Exp-Pop,0.6918400983583755,Minneapolis
Exp-POI,0.6801473912382509,Minneapolis
Attraction-Uniform,0.7173807788313539,Minneapolis
Attraction-Weighted,0.7597118854301416,Minneapolis
Radiation-Pop,0.574723987145988,Minneapolis
Radiation-POI,0.5742849338849737,Minneapolis
Power-Pop,0.6728959860744023,Nashville
Power-POI,0.5492565016812896,Nashville
Exp-Pop,0.666050345632068,Nashville
Exp-POI,0.543271899888232,Nashville
Attraction-Uniform,0.7951415626445751,Nashville
Attraction-Weighted,0.6808679877630025,Nashville
Radiation-Pop,0.5007602436149425,Nashville
Radiation-POI,0.4225470623841217,Nashville
Power-Pop,0.3206872969455369,New_York
Power-POI,0.2512300006843869,New_York
Exp-Pop,0.3570464190086164,New_York
Exp-POI,0.2902465481084157,New_York
Attraction-Uniform,0.6286349769951598,New_York
