SUBZONE_C,amenity,shop,tourism,leisure,office,public_transport,A_j_raw,A_j
1112051,153,114,4,12,8,31,322,323.0
1112052,74,108,20,5,5,46,258,259.0
1112055,96,90,1,5,4,33,229,230.0
1112056,83,139,0,13,2,28,265,266.0
1112057,84,109,1,23,2,35,254,255.0
1112058,91,150,8,2,1,30,282,283.0
1112059,94,103,6,17,1,20,241,242.0
1112060,36,52,3,40,1,32,164,165.0
1112065,203,172,1,28,7,30,441,442.0
1112066,158,92,2,35,6,31,324,325.0
1112067,113,65,1,24,10,30,243,244.0
1112068,32,22,1,27,0,20,102,103.0
1112071,628,219,26,140,4,74,1091,1092.0
1112072,94,87,7,9,1,27,225,226.0
1112073,36,97,3,11,1,24,172,173.0
1112074,75,182,1,9,1,41,309,310.0
1113052,72,62,5,17,2,18,176,177.0
1113062,60,70,11,6,0,15,162,163.0
1113064,57,57,6,24,1,10,155,156.0
1113065,30,41,0,5,3,4,83,84.0
1113066,21,52,1,10,1,11,96,97.0
1113068,152,60,4,14,10,32,272,273.0
1113069,58,47,2,11,1,14,133,134.0
1113070,98,86,1,13,4,25,227,228.0
1113071,21,21,0,2,0,14,58,59.0
1113072,42,105,0,6,1,19,173,174.0
1113073,97,48,4,20,9,26,204,205.0
1113074,22,35,0,5,1,2,65,66.0
1113075,1066,452,94,103,24,76,1815,1816.0
1113076,352,153,27,31,29,62,654,655.0
1114059,51,79,2,5,0,10,147,148.0
1114060,179,127,19,33,18,27,403,404.0
1114061,45,41,2,12,0,2,102,103.0
1114063,55,68,0,21,1,10,155,156.0
1114066,1015,949,56,30,50,63,2163,2164.0
1114068,198,186,20,16,7,33,460,461.0
1114069,84,107,3,28,0,10,232,233.0
1114070,35,91,0,9,1,16,152,153.0
1114071,140,210,19,12,4,21,406,407.0
1114072,88,58,7,11,5,20,189,190.0
1114073,152,129,4,44,10,44,383,384.0
1114074,173,106,14,66,8,112,479,480.0
1114075,53,83,2,4,2,23,167,168.0
1114076,208,160,13,44,4,34,463,464.0
1114077,184,122,5,20,11,32,374,375.0
1114078,60,96,4,18,2,19,199,200.0
1115051,116,167,2,32,7,41,365,366.0
1115052,145,117,2,43,5,18,330,331.0
1115053,66,98,0,23,2,12,201,202.0
1115054,27,110,0,9,2,13,161,162.0
1115057,25,80,0,6,0,13,124,125.0
1115058,48,63,2,8,0,14,135,136.0
1115059,32,42,0,21,0,21,116,117.0
1115060,18,62,0,8,0,6,94,95.0
1115061,70,42,0,17,0,21,150,151.0
1115062,16,43,0,9,0,20,88,89.0
1115063,21,57,1,12,2,23,116,117.0
1115064,21,65,0,13,0,29,128,129.0
1115065,22,85,0,11,1,15,134,135.0
1115066,49,72,1,43,1,76,242,243.0
1115069,42,39,1,22,8,27,139,140.0
1115070,45,64,1,15,0,31,156,157.0
1115071,88,77,0,58,3,37,263,264.0
1115072,52,195,1,9,5,27,289,290.0
1116051,113,117,7,41,2,44,324,325.0
1116052,45,89,1,5,1,27,168,169.0
1116053,38,37,1,9,2,7,94,95.0
1116054,93,93,1,58,1,55,301,302.0
1116055,39,94,10,25,2,33,203,204.0
1116057,8,43,0,4,0,27,82,83.0
1116058,90,101,2,20,1,12,226,227.0
1116059,32,77,0,7,0,30,146,147.0
1116061,52,81,10,18,3,31,195,196.0
1116063,56,109,1,7,8,21,202,203.0
1116064,173,371,20,37,62,64,727,728.0
1116065,37,25,4,25,1,14,106,107.0
1116066,60,16,3,38,0,13,130,131.0
1116067,274,379,1,81,13,67,815,816.0
1116069,104,64,9,25,4,105,311,312.0
1116070,51,128,2,27,3,41,252,253.0
1116071,86,73,12,23,4,47,245,246.0
1116072,30,44,0,3,4,20,101,102.0
1116073,121,190,39,14,4,50,418,419.0
1116074,156,133,0,58,1,33,381,382.0
1117051,58,134,2,8,0,75,277,278.0
1117052,44,43,0,2,0,36,125,126.0
1117054,117,136,3,8,31,47,342,343.0
