Zone,Uniform_CPC,Uniform_R2,Uniform_MAE,Uniform_RMSE,Weighted_CPC,Weighted_R2,Weighted_MAE,Weighted_RMSE,RadPop_CPC,RadPop_R2,RadPop_MAE,RadPop_RMSE,RadPOI_CPC,RadPOI_R2,RadPOI_MAE,RadPOI_RMSE,Power_CPC,Power_R2,Power_MAE,Power_RMSE,Exp_CPC,Exp_R2,Exp_MAE,Exp_RMSE
1124080,0.7303184658371857,0.7783112961412716,3033.223249024958,15769.945812882264,0.7814714635938715,0.8096466710533562,2457.8836636337414,14612.975530968999,0.3483930890770762,-1.8871480056232666,7321.086451110897,56910.57098559661,0.4032253510947966,-1.989747298810038,6703.263761459544,57912.94629542134,0.5915270516081487,0.8020955251775672,4594.26948717936,14899.998545713826,0.6898839999580814,0.7566719265188729,3488.006934334169,16521.692230551307
1118051,0.6794767408556033,0.5466754593345059,3804.061719986821,20936.471071613432,0.8356066999675515,0.9545938038024455,1951.0667068127432,6626.076215597321,0.2480791256936716,-4.441759875635464,8868.02665329281,72372.25118993656,0.36867042589145876,-1.750114634135909,7443.98805197453,51449.10134158394,0.672066645924993,0.8442419059155875,3873.5175024731243,12244.12365670638,0.714057479530194,0.9167463101984736,3377.5257807040102,8951.67157437951
1125074,0.604448876216636,0.4938398919410347,3965.7969840743167,22693.829140561265,0.6597488411438359,0.6662584349586924,3411.3593376076196,18427.608322944994,0.25287886296177026,-1.343510437339741,7470.769311685669,48831.185695305256,0.2783253641126114,-1.784466508687034,7231.644531419241,53227.34733579653,0.4667160946961652,0.5306146675948303,5346.706345012461,21853.881352465265,0.6198429605486966,0.7376763708357549,3811.4558394133096,16337.384478712822
1116064,0.7744849888561818,0.9094535871197592,2861.505861912867,10028.610603031837,0.8550948737344399,0.9683909192317799,1838.6663758080854,5925.310001475313,0.41032629967411105,-2.831753410875523,7466.61286059639,65238.492950358785,0.5096657581385777,-0.6129576721545784,6203.107887883656,42326.91626144918,0.5226873300775361,-0.002687940709557246,6056.5059328905445,33372.446041770025,0.6665894848527583,-0.17007307738405086,4230.566021650723,36050.528594952004
1115051,0.6682730603826089,0.6098043049230129,4039.5338592062335,20081.831861644383,0.7505089754674313,0.8400418771210642,3038.1235914387216,12857.757755457695,0.3743313236727217,-4.093028577646428,7571.423391002398,72385.75493552723,0.45998720055528464,-1.0252934496571489,6534.800987811522,45646.662658202506,0.5664907558387033,0.7501120051718952,5253.887880361832,16033.847465345292,0.7042883861514735,0.8337581679370802,3583.858210652015,13077.815611760358
1102055,0.7242175255147868,0.6864537654079335,4006.5219056084934,17557.229804208164,0.8198650601261959,0.9098729330626983,2616.970436272453,9413.103147478309,0.17881864101691664,-10.875699184362412,11928.4587096095,108052.49336141998,0.4000810150748443,-2.5489066938864693,8654.631876738393,59068.030354263174,0.6284061384675322,-1.6402850195974774,5398.4537958713045,50948.406422482156,0.6389616151185085,0.7720499915295949,5245.105587268795,14970.110467547867
1117054,0.6613350239377792,0.45163141027900433,3529.304815431666,20903.013766988148,0.8036162249307331,0.8416126514250342,2046.5600283900446,11233.959804480306,0.28810580384684986,-2.294577368487254,7368.641279679215,51117.96874971493,0.3783605079273588,-1.0668034168829106,6438.37720929606,40487.71974852194,0.665643551520499,0.9005548567349713,3467.8516773202905,8881.07467205727,0.6909296149802139,0.8307027540304925,3205.5916910679957,11587.73832557745
1124069,0.829353153716126,0.9560568051344461,1958.0419576449171,6130.620070165477,0.8482005936150717,0.944936059851955,1741.7820095710076,6862.656009851998,0.4179273560301907,-1.7259214451305787,6664.800538193853,48285.33583462185,0.3837473472282793,-2.356477461302246,7060.501635047059,53579.72198874294,0.5973421152363558,0.7750182279117164,4620.191056049259,13871.781991227237,0.7230324615486272,0.8780650746431184,3177.990528411352,10212.278420274351
1119074,0.7156642502102211,0.676831839502236,4241.300919935559,17431.367158844,0.8007222560337217,0.8669631564444091,2972.531169336771,11184.153874679683,0.3945511305628973,-4.43585856587355,8923.608073921932,71170.53768650822,0.40903191617162393,-1.9916015997268874,8715.49280413311,52798.070439104515,0.6019528689032689,0.5602631455473519,5881.066315791851,20242.428102714042,0.7439431591339559,0.8663952964392514,3783.18833148282,11157.76079475614
1123051,0.7701211413789303,0.9078961744920406,2714.4708973736383,8505.0435088489,0.8271896108240117,0.9633499961161835,2040.5911835297343,5365.061661121359,0.2685069074589611,-6.725020897793135,8631.534962842725,77891.04611969861,0.38459048868385753,-1.9532876947534459,7239.09897305626,48160.4552040997,0.6683404883325528,0.24129986270439252,3916.324004994523,24410.281432623822,0.7328816796118132,0.9318732935651863,3154.2043979097866,7314.698030153499
