Zone,CPC,R2,MAE,RMSE,Total_Actual
1103057.0,0.7295970772628182,0.7200403399567057,796.7501526912691,2556.4482111445404,617297.902327254
1103058.0,0.7799231655202541,0.8909299754482074,339.25562546522286,964.0774944924668,322951.0897999818
1103059.0,0.7386056552551079,0.8131046587853605,552.2170094890881,1645.3640114785671,440473.3644518711
1103063.0,0.6846609037464582,0.6841621430631658,1478.0687085838586,5421.561257291585,977288.6692487727
1103064.0,0.6914270791964292,0.5469676391672986,283.8061667957027,1147.8432013574288,191765.32283781416
1103065.0,0.7517482912380438,0.7900421494025964,966.7884642660969,3374.0499693835313,819768.6644048602
1103066.0,0.7069026562483607,0.6684444955630171,938.5313528597732,3090.611751132438,674045.1730070559
1103069.0,0.7398569625536985,0.7124572187793963,1020.6183176906383,3928.2528257157546,818007.3598257415
1103070.0,0.7289949583949773,0.6924199249072357,542.4203232294062,2049.5503764400523,421318.64914233325
1103071.0,0.7245809394444606,0.6822272858679805,1309.242368606793,4859.821882362145,1000640.6892676003
1103072.0,0.710715001070073,0.6917484783574311,1263.3126495088711,4468.904193020885,906156.128878939
1103073.0,0.7263950652642575,0.6537419109907102,3721.3502032732426,19379.60910047378,2835846.210638943
1103074.0,0.7680075951749175,0.9351233927565675,2097.2660161885046,5153.90774238117,1902969.6111842208
1104052.0,0.7157911381101769,0.7701020477308455,550.819807978207,1575.3849520622557,407966.0599195567
1104054.0,0.7185837469550028,0.7421459756364556,1456.6424895127166,5890.733748310106,1089571.9089593564
1104055.0,0.7285769417142813,0.7650437231207357,1653.2229541947383,8322.645818451838,1282143.9492132594
1104056.0,0.7129924314308603,0.6844081420743158,1545.7971688332038,6144.889253954733,1133734.2275034927
1104057.0,0.6844130265510207,0.7263610432895551,1136.54219188649,3422.9333410889753,758086.2060860193
1104058.0,0.7212096420279954,0.7784536489102083,526.4772607225278,1520.525997112267,397515.4097446252
1104059.0,0.6622130909936741,0.6122498307917339,937.3306315219285,3152.5527783004877,584120.0255977677
1104062.0,0.7922332441053668,0.9150483074549776,542.567824282146,1475.6915834192662,549705.4931603809
1104065.0,0.7527512310803005,0.816121378806818,1086.542525111473,3607.037472980905,925048.8992737796
1104066.0,0.6849788642136772,0.556327110662493,1625.388333306711,6389.62321404271,1086099.328881657
1104067.0,0.7544397284260619,0.7388890373169097,1127.7376025582644,4284.295578984041,966723.0118982703
1104068.0,0.7850594437202936,0.9034672706532372,2035.0189290767057,5579.407247845279,1992976.5326055929
1104069.0,0.7126889721682058,0.679898920180328,454.1080351130235,1363.575829527077,332704.7420096047
1104070.0,0.7073851534073052,0.6308030378141943,1025.7746308106325,3119.0120876089914,737917.3076825993
1104071.0,0.6728698765727161,0.5076355807872683,2592.2232276552386,10270.253163423986,1668030.3962980055
1104072.0,0.6971943737857702,0.6694608019813095,986.991698873244,3523.278167106329,686122.4978225143
1104073.0,0.7098902649003558,0.7391902393902181,1354.0321215463741,5106.422665597028,982468.7940499971
1105053.0,0.7931780682979056,0.9390207898392795,1977.505703407926,6077.7349025453295,2012673.158700378
1105054.0,0.7265534824367303,0.7068921235895349,1032.5755876810656,3726.698670003635,794879.9755936642
1105055.0,0.7489010816420575,0.809952061283125,718.7730165257817,1848.843177281326,602558.2307088869
1105056.0,0.7307750136887463,0.7619762139985948,1115.1693062400066,3734.949770523744,871921.8159496251
1105057.0,0.7321376436971909,0.789866315952006,678.9820710888578,1960.9174429542354,533578.9916020599
1105058.0,0.7327907649713243,0.8357420416958836,1339.9206225641688,4162.293295222354,1055552.1818678495
1105059.0,0.7545486717450062,0.81700160892541,1087.669438082482,3416.9467619902857,932789.4794625308
1105060.0,0.7545024979592063,0.8368458685578388,1088.9160536386923,3975.8042231495947,933682.939278365
1105061.0,0.7291628527917157,0.7981883707414179,1302.8123840644198,4691.782444646021,1012571.612396498
1105062.0,0.7384346452837657,0.7995270960815476,1710.6827024552122,7235.9543451777145,1376706.442095453
1105063.0,0.6408198761730438,0.6266871206261888,2574.088105535751,12725.72299374235,1508562.1677560394
1105064.0,0.7937049715188899,0.9039121605855979,882.7423551044119,2742.259037189278,900735.549070653
1105065.0,0.7466560118673232,0.8294003575052078,1083.7884538461474,4196.686964057573,900504.7690933879
1105066.0,0.7162221120610365,0.7336733180434691,1820.9874361319426,7318.840852412187,1350767.1724874482
1105067.0,0.7378473734617813,0.7249329091592818,1572.0725995771563,7130.653135428003,1262322.9703279254
1106071.0,0.7521064367300382,0.8485513159293728,1001.1247704268926,3122.599149608948,850109.8672956009
