ORIGIN_SUBZONE,distance_bin,COUNT
1102058.0,5.0,44312.369419315386
1102058.0,6.0,45063.70917188096
1102058.0,7.0,41488.56332093122
1102058.0,8.0,30757.797983991084
1102058.0,9.0,29569.260613958526
1102058.0,10.0,25709.392791406193
1102058.0,11.0,16885.879152316746
1102058.0,12.0,13978.760496984156
1102058.0,13.0,12434.35729592003
1102058.0,14.0,6008.565580595288
1102058.0,15.0,1958.8872130034217
1102058.0,16.0,899.0005658069884
1102058.0,17.0,410.977714988578
1102058.0,18.0,574.7117828325354
1102059.0,0.0,185981.3129472225
1102059.0,1.0,335690.2402096858
1102059.0,2.0,145994.0676425305
1102059.0,3.0,92472.32765151188
1102059.0,4.0,91948.46674214394
1102059.0,5.0,84004.54687655016
1102059.0,6.0,98225.05608699247
1102059.0,7.0,107450.72885367465
1102059.0,8.0,93183.77973144085
1102059.0,9.0,73532.12839300882
1102059.0,10.0,75503.98885694968
1102059.0,11.0,38398.65839789425
1102059.0,12.0,34586.32122209726
1102059.0,13.0,30757.039740683897
1102059.0,14.0,15983.717287272917
1102059.0,15.0,11504.508241195294
1102059.0,16.0,2995.9368465082744
1102059.0,17.0,1519.5500882234765
1102059.0,18.0,1370.637467856487
1102060.0,0.0,72863.24605200627
1102060.0,1.0,283772.4018877054
1102060.0,2.0,98302.98481340604
1102060.0,3.0,80686.05226424219
1102060.0,4.0,66563.06630572399
1102060.0,5.0,60998.20526000873
1102060.0,6.0,76083.85898304504
1102060.0,7.0,75596.66856146387
1102060.0,8.0,84052.60458633196
1102060.0,9.0,78622.36847140339
1102060.0,10.0,58415.949688949404
1102060.0,11.0,43854.57285338862
1102060.0,12.0,30393.48787357838
1102060.0,13.0,23966.11028275101
1102060.0,14.0,20646.35910998755
1102060.0,15.0,12684.440301142648
1102060.0,16.0,1702.3696658306474
1102060.0,17.0,2340.357003430575
1102065.0,0.0,139528.66851564165
1102065.0,1.0,85650.78690325511
1102065.0,2.0,39518.31177811392
1102065.0,3.0,34235.41309572602
1102065.0,4.0,24789.900002090468
1102065.0,5.0,19551.00439824837
1102065.0,6.0,17517.405897521163
1102065.0,7.0,17292.490535246347
1102065.0,8.0,16700.93959784121
1102065.0,9.0,10042.11768827675
1102065.0,10.0,11133.979221543677
1102065.0,11.0,7951.123305090603
1102065.0,12.0,5186.025628233944
1102065.0,13.0,3995.225176016485
1102065.0,14.0,1987.4693572806023
1102065.0,15.0,2929.3035526192793
1102065.0,16.0,1668.4511955452822
1102065.0,17.0,597.0112761734506
1102065.0,18.0,355.7741015701757
1102065.0,19.0,84.69710452658825
1102065.0,20.0,301.3582201952265
1102067.0,0.0,211115.49304113112
1102067.0,1.0,129078.93829483855
1102067.0,2.0,94469.10334486495
1102067.0,3.0,31296.539304633006
1102067.0,4.0,45283.190882710645
1102067.0,5.0,30649.07151724897
1102067.0,6.0,31483.01267386203
1102067.0,7.0,25180.463389352128
1102067.0,8.0,23992.226630235135
1102067.0,9.0,18383.350710929328
1102067.0,10.0,16287.430805477661
1102067.0,11.0,11104.213612968122
1102067.0,12.0,6861.043246934552
1102067.0,13.0,8028.482969105721
1102067.0,14.0,3766.994608183004
1102067.0,15.0,4246.034753960875
1102067.0,16.0,3844.4060252192435
1102067.0,17.0,1586.369674153613
1102067.0,18.0,260.603013913451
1102067.0,19.0,520.469411139749
