ORIGIN_SUBZONE,distance_bin,prob
BDSZ07,10.0,0.04264103959132224
BDSZ07,11.0,0.024433381509513352
BDSZ07,12.0,0.009375995669058714
BDSZ07,13.0,0.013351118667187646
BDSZ07,14.0,0.004980811789762976
BDSZ07,15.0,0.007358015070474265
BDSZ07,16.0,0.009417290323217404
BDSZ07,17.0,0.007083323759993148
BDSZ07,18.0,0.003967743157481237
BDSZ07,19.0,0.004319197586294714
BDSZ07,20.0,0.007199439469155859
BDSZ07,21.0,0.0033840573103423384
BDSZ07,22.0,0.0023744843920516117
BDSZ07,23.0,0.0019462668449057746
BDSZ07,24.0,0.0010119033942847355
BDSZ07,25.0,0.0024134485702162938
BDSZ07,26.0,0.0005454984943055522
BDSZ07,27.0,0.002024583613900807
BDSZ07,29.0,0.0003113250126517903
BDSZ08,0.0,0.11966625725918993
BDSZ08,2.0,0.12830441489163796
BDSZ08,3.0,0.13005237770476877
BDSZ08,4.0,0.10808378745728811
BDSZ08,5.0,0.05424744269012606
BDSZ08,6.0,0.06934828103552708
BDSZ08,7.0,0.03613547402561321
BDSZ08,8.0,0.026585216666339166
BDSZ08,9.0,0.02762717805355091
BDSZ08,10.0,0.08804249367415103
BDSZ08,11.0,0.06834051511786095
BDSZ08,12.0,0.040153649973648405
BDSZ08,13.0,0.023413480203326474
BDSZ08,14.0,0.004223421748251756
BDSZ08,15.0,0.012229881661497405
BDSZ08,16.0,0.00599047221306584
BDSZ08,17.0,0.00963908080705791
BDSZ08,18.0,0.008261879747296258
BDSZ08,19.0,0.00865893203977634
BDSZ08,20.0,0.005845238310922543
BDSZ08,21.0,0.005703965996864452
BDSZ08,22.0,0.002632331423360367
BDSZ08,23.0,0.005374488634256664
BDSZ08,24.0,0.002417001580745098
BDSZ08,25.0,0.0027800863361033424
BDSZ08,26.0,0.00010838521005039953
BDSZ08,27.0,0.0019115640782146161
BDSZ08,28.0,0.0009743864573394483
BDSZ08,29.0,0.0018772363967213953
BDSZ08,33.0,0.0008298728439389157
BDSZ08,35.0,0.0005412057615092327
BKSZ01,0.0,0.07089006231393503
BKSZ01,1.0,0.24629242960282693
BKSZ01,2.0,0.175609276775565
BKSZ01,3.0,0.0942420480399301
BKSZ01,4.0,0.06332366681912922
BKSZ01,5.0,0.04965552904318539
BKSZ01,6.0,0.057203460830574156
BKSZ01,7.0,0.05874278351937982
BKSZ01,8.0,0.02804813301712948
BKSZ01,9.0,0.0298924869302262
BKSZ01,10.0,0.0283453287048145
BKSZ01,11.0,0.02030517295890349
BKSZ01,12.0,0.017068088766668606
BKSZ01,13.0,0.01839355404860749
BKSZ01,14.0,0.015770077673069666
BKSZ01,15.0,0.008049276108675316
BKSZ01,16.0,0.0027438845179142326
BKSZ01,17.0,0.002477085071073778
BKSZ01,18.0,0.000530656841176293
BKSZ01,19.0,0.0026553436426346964
BKSZ01,20.0,0.0022111682399847082
BKSZ01,21.0,0.0016509977737152366
BKSZ01,22.0,0.0020343806946760976
BKSZ01,23.0,0.0009736554228244348
BKSZ01,24.0,0.0002948420456813252
BKSZ01,27.0,0.0025966105976988007
BKSZ02,0.0,0.11215806146195285
BKSZ02,1.0,0.31043142400627205
BKSZ02,2.0,0.18475050784642916
BKSZ02,3.0,0.1019565859983852
BKSZ02,4.0,0.025927780462949322
BKSZ02,5.0,0.03523393941678215
BKSZ02,6.0,0.026948897753464852
BKSZ02,7.0,0.009869066466777559
BKSZ02,8.0,0.026304717496899038
BKSZ02,9.0,0.01650376483478401
BKSZ02,10.0,0.020442895888879625
BKSZ02,11.0,0.029274685279981692
BKSZ02,12.0,0.023350119802607545
BKSZ02,13.0,0.019416358683819728
BKSZ02,14.0,0.026550954796105232
BKSZ02,15.0,0.006482892751379883
BKSZ02,16.0,0.006708813865071819
BKSZ02,17.0,0.0031320394525035447
BKSZ02,18.0,0.0034815530336198552
BKSZ02,19.0,0.0015184880064144414
BKSZ02,20.0,0.0010602782288436482
BKSZ02,21.0,0.0016301850490703402
BKSZ02,22.0,0.0023723216314750478
BKSZ02,23.0,0.0010756483176348158
BKSZ02,24.0,0.001360680697385041
BKSZ02,25.0,0.00017396709418936163
BKSZ02,26.0,0.0001265933136257897
BKSZ02,28.0,0.0017567783626961297
BKSZ03,0.0,0.14509445144972363
BKSZ03,1.0,0.26117021016767905
BKSZ03,2.0,0.13552268103654339
BKSZ03,3.0,0.07457260718313308
BKSZ03,4.0,0.035770955592455925
BKSZ03,5.0,0.03802424700445001
BKSZ03,6.0,0.016511650556851176
BKSZ03,7.0,0.023461147370801152
BKSZ03,8.0,0.016796465594013984
BKSZ03,9.0,0.0195118431498175
BKSZ03,10.0,0.02268471994352284
BKSZ03,11.0,0.039723780165008944
BKSZ03,12.0,0.03993405205688036
BKSZ03,13.0,0.03803891483505024
BKSZ03,14.0,0.035973889901775746
BKSZ03,15.0,0.010897452270188441
BKSZ03,16.0,0.011175561961773056
BKSZ03,17.0,0.011047605115109466
BKSZ03,18.0,0.003553082209671789
BKSZ03,19.0,0.0027111791546100775
BKSZ03,20.0,0.0014790355715399643
