Zone,CPC_No_POI,CPC_POI,CPC_Improvement,Observed_Trips
PGSZ04,0.6275475074198499,0.6983547080924615,0.07080720067261159,44133.081444862066
PGSZ05,0.591106500411956,0.7454470713383088,0.15434057092635278,35342.46584406018
PLSZ01,0.5954764969621876,0.6482846647353313,0.05280816777314368,9296.193927806184
PLSZ02,0.5190445419848867,0.5933432661017469,0.07429872411686023,2733.41353046822
PLSZ03,0.48912848188183744,0.5611601026176527,0.07203162073581526,2572.9132771140244
PLSZ04,0.5366786836049241,0.6160974012002289,0.07941871759530483,1555.7746811837576
PLSZ05,0.6329200286554554,0.6936358925148374,0.06071586385938199,3476.1298114735
PNSZ01,0.6405250046980177,0.7133814603427805,0.07285645564476284,22443.577314935268
PNSZ02,0.6091131777451898,0.7213814226657436,0.11226824492055376,11643.62069716879
PNSZ03,0.6216766176401175,0.6596288126498547,0.03795219500973723,4537.562500805791
PNSZ04,0.6437450910674363,0.7518484493983615,0.10810335833092521,1777.455140511638
PNSZ05,0.661444534696428,0.7396410871155683,0.07819655241914025,3974.172603836497
PRSZ01,0.43061073125741345,0.6150230176989969,0.18441228644158347,4619.280186776496
PRSZ02,0.6385317933008771,0.7909531629688081,0.15242136966793107,30880.686654539564
PRSZ03,0.6812128624151579,0.7014376947681382,0.020224832352980338,44392.80626163936
PRSZ04,0.6494862594889789,0.6889285339886415,0.039442274499662644,8428.72744953991
PRSZ05,0.6125221935451419,0.8051007711181201,0.19257857757297814,44213.962080899975
PRSZ06,0.6991986773092562,0.7654299353730937,0.06623125806383745,7361.767050802272
PRSZ07,0.6314076964049341,0.74413164643649,0.11272395003155589,3262.4974261662437
PRSZ08,0.6289172630916162,0.7891993473981076,0.16028208430649138,12635.543501986656
QTSZ01,0.6103371095583264,0.6715924200942527,0.061255310535926255,9727.36264946318
QTSZ02,0.6521759640532027,0.6888699988336089,0.036694034780406226,9896.780478471992
QTSZ03,0.5168807769694196,0.5378148211170668,0.020934044147647213,19808.950849976372
QTSZ04,0.6552291724945675,0.617338369052093,-0.03789080344247442,7507.168745019773
QTSZ05,0.6302436323311608,0.5998977527085939,-0.03034587962256685,17829.29070751556
QTSZ06,0.5826438541070302,0.6209378503740274,0.03829399626699714,30068.328252169653
QTSZ07,0.6420918714326311,0.6206861207264207,-0.021405750706210425,6913.306914441062
QTSZ08,0.58733086837588,0.6877976040174542,0.10046673564157416,60900.11274956507
QTSZ09,0.5287481929736655,0.5589510852886516,0.030202892314986074,17836.928080771242
QTSZ10,0.6271804619736067,0.6413148059430892,0.014134343969482543,14888.214150297808
QTSZ11,0.5595024112678403,0.6273137891112671,0.06781137784342683,35775.659016631704
QTSZ12,0.5773292482001695,0.6364723683968377,0.05914312019666823,7734.591006582614
QTSZ13,0.5983644412504957,0.6445420228434211,0.0461775815929254,17297.280119869687
QTSZ14,0.6706818788267271,0.644323418388378,-0.026358460438349107,14105.722806854523
QTSZ15,0.6401010116736306,0.6444593078513574,0.0043582961777267615,15854.6578688808
RCSZ01,0.49550875625249907,0.6285548031021116,0.13304604684961258,36982.61921575193
RCSZ02,0.4427383475811759,0.5720522339236889,0.12931388634251295,3730.285826607358
RCSZ03,0.4628071660485055,0.542147338195283,0.07934017214677752,10776.681907379325
RCSZ04,0.38821646572310003,0.5359264530160076,0.14770998729290757,2851.6562292900458
RCSZ05,0.5545260811837901,0.655667320337925,0.10114123915413487,6075.149621616924
RCSZ06,0.2747083130117467,0.2610597817563973,-0.013648531255349372,2652.1260589169106
RCSZ08,0.3322739985496246,0.3974540969944647,0.06518009844484013,3254.927452186239
RCSZ09,0.49708802942710434,0.6092222239075101,0.11213419448040579,13734.99311477318
RCSZ10,0.5012597539200238,0.6534791645863888,0.15221941066636502,67958.28446801347
RVSZ01,0.5774272865398702,0.6165965131265077,0.03916922658663746,5367.962668590783
RVSZ02,0.4073644510115338,0.4066146096533624,-0.0007498413581714103,8154.2857645224485
RVSZ03,0.5700523165032322,0.6401812775066479,0.0701289610034157,4103.117457121276
RVSZ04,0.4701508013911447,0.6398322886020826,0.16968148721093795,1482.8869853299439
RVSZ05,0.4763312350916017,0.4779828170680011,0.0016515819763994188,3717.3701893168864
SBSZ01,0.6084672439521126,0.6844172609423902,0.07595001699027759,12186.341371230134
SBSZ02,0.5700221937131271,0.6676246652944001,0.097602471581273,20930.07350209518
SBSZ03,0.6216733754465269,0.7092512378426359,0.08757786239610899,55585.1580546308
SBSZ04,0.5867091923302883,0.740935876428868,0.15422668409857976,19146.50245561303
SBSZ05,0.6514519993244986,0.7491138945249771,0.09766189520047852,8478.923509897086
SBSZ06,0.5591641316097723,0.7114553396867633,0.15229120807699104,1935.6630193228775
SBSZ07,0.5766661310003537,0.6523706783334245,0.07570454733307086,1762.6558914844518
SBSZ08,0.6705144849994783,0.7188379474915962,0.04832346249211794,8329.788551889465
SBSZ09,0.6084747199195732,0.7012376547919887,0.09276293487241549,14721.0356369987
SESZ02,0.6154864854702834,0.725303965002538,0.10981747953225462,48792.573793487536
SESZ03,0.6452488664364783,0.7400544789598182,0.09480561252333997,85712.44973642798
SESZ04,0.6705393732728345,0.7547431198569493,0.08420374658411478,39940.858815393345
SESZ05,0.6174870086295121,0.733189902142189,0.11570289351267693,33697.26589855031
SESZ06,0.6849209211386712,0.8017405435452967,0.11681962240662547,58002.91086313223
SESZ07,0.5721667327218793,0.7236370259732243,0.15147029325134498,3351.067143054178
SGSZ01,0.617191458223534,0.7867548473992806,0.16956338917574654,14814.84483638399
SGSZ02,0.6285130989383549,0.6116148620542812,-0.01689823688407377,12993.88308881719
SGSZ03,0.6603839407316551,0.731320870652723,0.07093692992106793,20298.180687031694
SGSZ04,0.7068180113103084,0.7733827984938046,0.06656478718349623,40608.01429039403
SGSZ05,0.6182470684466216,0.7214606000919866,0.10321353164536506,15947.547435029635
SGSZ06,0.6084307383296508,0.714697735489777,0.10626699716012622,39179.36002360079
SGSZ07,0.5897365315156698,0.6643015934626604,0.07456506194699053,48021.85461178351
SISZ01,0.1530890383499108,0.11965550768217026,-0.033433530667740546,386.60848484253756
SKSZ01,0.6896601218224567,0.7426031509670149,0.052943029144558174,6865.464552330142
SKSZ02,0.6148458512538075,0.6266119091218828,0.011766057868075275,11921.395088796402
SKSZ03,0.708741855411969,0.6748690712400576,-0.03387278417191142,11230.716283583813
SKSZ04,0.6711320410232573,0.6732996998502138,0.0021676588269564645,3445.219470265097
SKSZ05,0.7099572967051352,0.7131845940378833,0.003227297332748069,3953.9760728550777
SLSZ01,0.5862760724998374,0.7208251644430583,0.13454909194322096,4547.531778546452
SLSZ04,0.5749983679427623,0.6829421508855613,0.10794378294279905,2428.445307725407
SRSZ01,0.643144972097187,0.6807938912450384,0.0376489191478514,13821.674838477007
SRSZ02,0.5140533711116139,0.6468327240302613,0.1327793529186474,27996.83289676473
SRSZ03,0.47253349630831337,0.5242071104270201,0.05167361411870669,4811.025523332063
SVSZ01,0.5547783163595401,0.5968537455327774,0.042075429173237255,3788.341408649327
THSZ01,0.6310984416974654,0.6763671640447833,0.045268722347317825,5798.9549728981065
TMSZ01,0.6213206586858341,0.7142404317299212,0.09291977304408716,19855.400627257797
TMSZ02,0.7470979780386923,0.8157022603041661,0.06860428226547388,185120.66277254227
TMSZ03,0.6625832369101726,0.7720996538429061,0.1095164169327335,87755.46378677999
TMSZ04,0.7450357251391939,0.839779061320039,0.09474333618084507,67317.24094858025
TMSZ05,0.6695423736385993,0.7869508749348647,0.11740850129626546,34952.10412769171
TNSZ01,0.5716350662122224,0.7203026302453391,0.14866756403311676,19661.14437914124
TNSZ02,0.6325638009742285,0.7352587499458475,0.10269494897161902,17079.96597424023
TNSZ03,0.6277893951435821,0.6891911849001083,0.061401789756526215,8859.598114924815
TNSZ04,0.6074774980112706,0.7496506581142535,0.14217316010298287,15261.15639936852
TPSZ01,0.592141270434764,0.6868215203654274,0.09468024993066337,32632.47586330045
TPSZ02,0.6473421929552408,0.6446573869435086,-0.002684806011732155,72085.79470243421
TPSZ03,0.5895355756211101,0.6545226895831497,0.0649871139620396,11565.273787515274
TPSZ04,0.6095289570878881,0.7273376936360224,0.11780873654813429,11997.262753016948
TPSZ05,0.6108800804946481,0.6168164972698945,0.005936416775246367,8835.170190160068
TPSZ06,0.5727235578085723,0.5904207527729308,0.01769719496435851,10224.288787051632
TPSZ07,0.5354424172359751,0.6148448180279182,0.07940240079194316,8920.37433541497
TPSZ08,0.6131937458864704,0.6329813838783621,0.01978763799189176,5019.965925486932
TPSZ09,0.5470528314787004,0.6321808422835046,0.08512801080480414,24903.42977486154
TPSZ10,0.585313326120161,0.6764580516954811,0.09114472557532016,14005.064387845083
TPSZ11,0.6178928865219696,0.7136596693491832,0.09576678282721363,15669.766915594855
TPSZ12,0.569801884073919,0.6754900572644844,0.10568817319056545,31646.38404829541
TSSZ01,0.49589379692147456,0.6615352850370275,0.16564148811555296,1473.9196071011158
TSSZ02,0.7087767111424059,0.7685167388386699,0.059740027696263964,9374.790008690012
TSSZ03,0.6875561577213811,0.7569226915138152,0.06936653379243407,11813.950373520052
TSSZ04,0.6187850789427649,0.7065709647849295,0.08778588584216462,9005.966090327745
TSSZ05,0.7210877012134453,0.780941031930077,0.05985333071663168,8050.447841267363
TSSZ06,0.7344923390943635,0.7798978573648176,0.04540551827045414,6881.23567176486
WCSZ01,0.7255852332786513,0.7675275931860632,0.04194235990741191,30034.641987353556
WDSZ01,0.6462215615683962,0.711707620279778,0.0654860587113818,64895.50407872867
WDSZ02,0.6826053369928775,0.7321599455253696,0.04955460853249205,26046.00731925772
WDSZ03,0.6985809754174525,0.7586260100350647,0.060045034617612236,99858.0338604115
WDSZ04,0.6748392949481762,0.7806646330041884,0.10582533805601224,32241.06997981541
WDSZ05,0.6702270707808118,0.7283647242682497,0.058137653487437935,23806.787418269138
WDSZ06,0.63224648151178,0.6936880066328077,0.06144152512102774,49113.39264834203
WDSZ07,0.6111753404657522,0.6938666914130547,0.08269135094730251,8904.543715438234
WDSZ08,0.7180057342633508,0.7208458496538892,0.0028401153905384113,10833.684538827549
WDSZ09,0.6615195281849502,0.7039603252935114,0.04244079710856119,31003.809657871265
YSSZ01,0.6616813458407528,0.7249535070368006,0.06327216119604784,16000.922788645828
YSSZ02,0.5955088756221888,0.7561621493520887,0.1606532737298999,29581.08785405772
YSSZ03,0.7160567296064619,0.750755525001452,0.0346987953949901,45211.01113946378
YSSZ04,0.670165096290843,0.7745515125045481,0.10438641621370515,34719.39146437989
YSSZ05,0.6451055008061343,0.7762848176947946,0.13117931688866036,16766.422608557827
YSSZ06,0.6615221312283769,0.7491321405732716,0.08761000934489471,5426.810266421355
YSSZ07,0.6726344816652691,0.7315523075807691,0.05891782591549999,5611.767430188933
YSSZ08,0.5225405768670836,0.6207517969902334,0.09821122012314987,28208.387710080926
YSSZ09,0.5850165128618796,0.6720747958917099,0.08705828302983032,84452.54799819965
