Zone,Uniform_CPC,Uniform_R2,Weighted_CPC,Weighted_R2,RadPop_CPC,RadPop_R2,RadPOI_CPC,RadPOI_R2,Power_CPC,Power_R2,Exp_CPC,Exp_R2
RCSZ08,0.3330528562075637,0.08964420648549609,0.40390245908543443,0.20962068213829943,0.020482237931375376,-9.607670597264542,0.0850039028820587,-8.92203938525642,0.2811844639315787,-0.7022969952114149,0.38124012339188745,0.20377937321647632
RCSZ07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNSZ01,0.6405250046980178,0.5903396493651781,0.7144322417238932,0.8457989288840195,0.2239396156937944,-7.814265590395417,0.31661548336543666,-4.0976897077593275,0.6357413496153629,0.7081988126668515,0.6463995742368236,0.6786241276081567
GLSZ01,0.6247766434373866,0.5064004703912803,0.7619378238975533,0.8125084145383353,0.24678038291865179,-19.479094171079954,0.20369146117749223,-21.335411202599698,0.7162701744047396,0.7268379381722483,0.6812407335111894,0.6930103214461807
JESZ06,0.6062322717729389,0.5692165485155076,0.6384919394934349,0.5243759506968986,0.12579777329861522,-36.312779477812285,0.1764316331810269,-32.657290158401814,0.6456544706020411,0.5982930303083721,0.5959776501323123,0.37366644248193337
BLSZ01,0.6929177913713435,0.7887126156090776,0.7153458130972643,0.8301168743696188,0.40373022296534217,-5.593571152251861,0.3211548309859361,-6.35123403899704,0.6729501117252379,0.8144366426309183,0.6200179610248279,0.6998105617457411
BTSZ06,0.5921903207419907,0.5773163614870418,0.664421600514313,0.5868069508040409,0.24929039411171586,-19.301882493727724,0.2711541020132139,-6.759104366833987,0.6456208844384518,0.5346908545016245,0.6090794621769816,0.5112069887451425
BDSZ03,0.5969382632001021,0.48097928132363876,0.7195590466369113,0.6896890158887796,0.35613121517136825,-4.279071610037528,0.4274441744079645,-3.0355635041961095,0.7005248692896895,0.5911073739155344,0.6778515830271793,0.6493262227273489
MPSZ02,0.6076194138455056,0.5362876786257913,0.7365952336815721,0.7435246830181925,0.16735205386439725,-14.731900782930506,0.4369390926499096,-3.843242617348899,0.7095230600449955,0.5330124574149762,0.7193532810896652,0.711113357593714
QTSZ02,0.6559597771014488,0.5802826572672124,0.6910076240708639,0.4798900894918616,0.13306735209068846,-19.439664102537428,0.36148847208647833,-4.46116275632582,0.6674404837558302,0.48414088056731874,0.6330393715959796,0.32263904075104455
