Zone,Model,CPC,R2
CLSZ05,Global P_bin,0.49022651073703133,0.2791008528259664
CLSZ06,No POI (Eq),0.6690355087192464,0.7545563489803272
CLSZ06,POI Weighted,0.656776434630009,0.6968653038111594
CLSZ06,Global P_bin,0.5305529502347663,0.3253665031459275
CLSZ07,No POI (Eq),0.5834352794703406,0.2874632276528136
CLSZ07,POI Weighted,0.6033257638291442,0.06412033102786618
CLSZ07,Global P_bin,0.5363097110216388,0.19072485594016875
CLSZ08,No POI (Eq),0.558006583634884,0.35499112896056406
CLSZ08,POI Weighted,0.5026018893538265,-0.09751192744218495
CLSZ08,Global P_bin,0.5119860194423581,0.223640680527598
CLSZ09,No POI (Eq),0.5614869998059017,0.39364200337067434
CLSZ09,POI Weighted,0.5273080012941627,0.27466991831440923
CLSZ09,Global P_bin,0.5234226896270859,0.25849908683746337
DTSZ01,No POI (Eq),0.5936762286207217,0.3300183279315697
DTSZ01,POI Weighted,0.7227737054291425,0.6681018045840119
DTSZ01,Global P_bin,0.5808642109358109,0.29398773902182707
DTSZ02,No POI (Eq),0.5377590425319987,0.23610990421403288
DTSZ02,POI Weighted,0.666341650038374,0.3491581738718458
DTSZ02,Global P_bin,0.5282916050199324,0.1681441516377553
DTSZ03,No POI (Eq),0.5946593040156897,0.31307562066389827
DTSZ03,POI Weighted,0.7159057291519141,0.48949959799277865
DTSZ03,Global P_bin,0.5599358234907537,0.17283959316540842
DTSZ04,No POI (Eq),0.20312434925203857,0.084450207513169
DTSZ04,POI Weighted,0.21128348043797937,0.029828148824252665
DTSZ04,Global P_bin,0.20281536996628927,0.07240420733417163
DTSZ05,No POI (Eq),0.39661909596838324,0.09346407058954831
DTSZ05,POI Weighted,0.5054719713864962,0.22490315333107047
DTSZ05,Global P_bin,0.3924145048410644,0.08430490014670056
DTSZ06,No POI (Eq),0.46837711319041364,0.23341163906079576
DTSZ06,POI Weighted,0.5673204567938834,0.4210340443205042
DTSZ06,Global P_bin,0.4687516057987527,0.18714324329617193
DTSZ07,No POI (Eq),0.23638059369955725,0.16672738635636475
DTSZ07,POI Weighted,0.43324101110634805,0.5167985306680922
DTSZ07,Global P_bin,0.23510798030934482,0.164435318384491
DTSZ08,No POI (Eq),0.5656865502684997,0.2809027326375284
DTSZ08,POI Weighted,0.6641937691768169,0.5953853991302982
DTSZ08,Global P_bin,0.5617795137363735,0.2549127791733452
DTSZ09,No POI (Eq),0.40041110186821727,0.11444273050179787
DTSZ09,POI Weighted,0.5203726054994938,0.2416177809057829
DTSZ09,Global P_bin,0.39763246238937017,0.09417695525501402
DTSZ10,No POI (Eq),0.5378954751437887,0.31474731363325237
DTSZ10,POI Weighted,0.59664131343047,0.2963192986878004
DTSZ10,Global P_bin,0.49650777153469877,0.22955228924186855
DTSZ11,No POI (Eq),0.5265561827423468,0.1966788553525345
DTSZ11,POI Weighted,0.6780372379371512,0.6916574537154476
DTSZ11,Global P_bin,0.5041248843279919,0.17698991618898197
DTSZ12,No POI (Eq),0.487172164461591,0.18327500226841176
DTSZ12,POI Weighted,0.6727025145677183,0.6434109239608686
DTSZ12,Global P_bin,0.4724061448008814,0.155590353414937
GLSZ01,No POI (Eq),0.5976742388834393,0.4289941377359717
GLSZ01,POI Weighted,0.7236710103825105,0.6337445097339595
GLSZ01,Global P_bin,0.5370781342573457,0.21222355340654864
GLSZ02,No POI (Eq),0.5942165789643423,0.5336961037828067
GLSZ02,POI Weighted,0.7392321841656107,0.8454980835741726
GLSZ02,Global P_bin,0.5252708351073434,0.27046225367562127
GLSZ03,No POI (Eq),0.6693800284379069,0.777661229391366
GLSZ03,POI Weighted,0.7567473020375891,0.8445863707793709
GLSZ03,Global P_bin,0.5318718838657306,0.19851237571817892
GLSZ04,No POI (Eq),0.6719996964754237,0.7860241448305929
GLSZ04,POI Weighted,0.8002719570822374,0.9374571084560022
GLSZ04,Global P_bin,0.5563148636144057,0.17553828769813962
GLSZ05,No POI (Eq),0.6602638722733442,0.7593535585472936
GLSZ05,POI Weighted,0.7793032422385076,0.9150635203778673
GLSZ05,Global P_bin,0.5049680626497277,0.18474882991249653
HGSZ01,No POI (Eq),0.6803466545745421,0.7874779539405001
HGSZ01,POI Weighted,0.745243442917705,0.8432188379201038
HGSZ01,Global P_bin,0.5232458248124487,0.48601331583556173
HGSZ02,No POI (Eq),0.5978122205738415,0.5256129420351512
HGSZ02,POI Weighted,0.7130406902810605,0.7683902988739749
HGSZ02,Global P_bin,0.5347699343511899,0.3055105950770344
HGSZ03,No POI (Eq),0.6646336759295209,0.72175008720969
HGSZ03,POI Weighted,0.7921293642957018,0.8797960020612295
HGSZ03,Global P_bin,0.5526152094129991,0.48374754332499637
HGSZ04,No POI (Eq),0.7336903477809327,0.8954591663255782
HGSZ04,POI Weighted,0.7863004686775931,0.920010545028523
HGSZ04,Global P_bin,0.5611450733285405,0.44465778545614
HGSZ05,No POI (Eq),0.6635629409671796,0.7963242086813176
HGSZ05,POI Weighted,0.7004636717226213,0.6748043215256698
HGSZ05,Global P_bin,0.5237963101910019,0.29386122202009846
HGSZ06,No POI (Eq),0.6132248295206142,0.622680581613217
HGSZ06,POI Weighted,0.6908845322000727,0.5992266142348014
HGSZ06,Global P_bin,0.5155692059414512,0.30648275005443815
HGSZ07,No POI (Eq),0.6672374616975687,0.7078573563347579
HGSZ07,POI Weighted,0.7727594128305806,0.878982016480724
HGSZ07,Global P_bin,0.5616476660168698,0.28423851012244294
HGSZ08,No POI (Eq),0.6092467458276261,0.4823582610149184
HGSZ08,POI Weighted,0.7465721675823837,0.7200212746318317
HGSZ08,Global P_bin,0.5595093749951436,0.2478924348780951
HGSZ09,No POI (Eq),0.5579370741269619,0.39272786263662707
HGSZ09,POI Weighted,0.6979719163965864,0.6596678302048491
HGSZ09,Global P_bin,0.5143628299766376,0.21314708004648175
HGSZ10,No POI (Eq),0.23010370305272085,0.15314509485367156
HGSZ10,POI Weighted,0.24049051032678423,0.1527141185520695
